Pencil,笔 (Bǐ)
School bag,书包 (Shūbāo)
Book,书 (Shū)
You,你 (Nǐ)
I,我 (Wǒ)
Map,地图 (Dìtú)
Picture,照片 (Zhàopiàn)
Good,好 (Hǎo)
Calling,叫 (Jiào)
Be,是 (Shì)
Human,人 (Rén)
Japan,日本 (Rìběn)
France,法国 (Fàguó)
Canada,加拿大 (Jiānádà)
Teacher,老师 (Lǎoshī)
Study,学习 (Xuéxí)
Student,学生 (Xuéshēng)
Big,大 (Dà)
Also,也 (Yě)
China,中国 (Zhōngguó)
Who,谁 (Shéi)
Technology,科技 (Kējì)
What,什么 (Shénme)
Friend,朋友 (Péngyǒu)
Have,有 (Yǒu)
Question,问题 (Wèntí)
Electricity,电 (Diàn)
Morning,早 (Zǎo)
Mouse,鼠 (Shǔ)
Ox,牛 (Niú)
Tiger,虎 (Hǔ)
Rabbit,兔 (Tù)
Dragon,龙 (Lóng)
Snake,蛇 (Shé)
Horse,马 (Mǎ)
Sheep,羊 (Yáng)
Monkey,猴 (Hóu)
Rooster,鸡 (Jī)
Dog,狗 (Gǒu)
Pig,猪 (Zhū)
Classmate,同学 (Tóngxué)
Thanks,谢谢 (Xièxiè)
Father,爸爸 (Bàba)
Mother,妈妈 (Māmā)
Big brother,哥哥 (Gēgē)
Little brother,弟弟 (Dìdì)
Big sister,姐姐 (Jiějiě)
Little sister,妹妹 (Mèimei)
Sleepy,困 (Kùn)
Thirsty,渴 (Kě)
Hungry,饿 (È)
Tired,累 (Lèi)
This,这 (Zhè)
Dictionary,词典 (Cídiǎn)
Notebook,本子 (Běnzi)
One,一 (Yī)
Two,二 (Èr)
Three,三 (Sān)
Four,四 (Sì)
Five,五 (Wǔ)
Six,六 (Liù)
Seven,七 (Qī)
Eight,八 (Bā)
Nine,九 (Jiǔ)
Ten,十 (Shí)
Hundred,百 (Bǎi)
Zero,零 (Líng)
He/ she,他/ 她 (Tā)
Paper,纸 (Zhǐ)
Candle,蜡烛 (Làzhú)
Gun,枪 (Qiāng)
Cup,杯子 (Bēizi)
Turkey,土耳其 (Tǔ'ěrqí)
Family,家庭 (Jiātíng)
How many,多少 (Duōshǎo)
And,和 (Hé)
To do,作 (Zuò)
Work,工作 (Gōngzuò)
Doctor,大夫 (Dàfū)
Whole,全 (Quán)
Male,男 (Nán)
Female,女 (Nǚ)
Class,类 (Lèi)
Much/more,多得多 ()
Less,减 (Jiǎn)
Language,语 (Yǔ)
English,英语 (Yīngyǔ)
Chinese,中文 (Zhōngwén)
Turkish,土语 (Tǔyǔ)
French,法国 (Fàguó)
Difficult,难 (Nán)
Same/ similar/ together,同 (Tóng)
Both,都 (Dōu)
Ask/ request/ please,请 (Qǐng)
To enter,进 (Jìn)
Famous,名 (Míng)
Name,名字 (Míngzì)
Which,哪 (Nǎ)
Country,国 (Guó)
Very,很 (Hěn)
Practice,练 (Liàn)
Foreign,外 (Wài)
To learn,学习 (Xuéxí)
To practice,练习 (Liànxí)
This,这 (Zhè)
Past,昨 (Zuó)
Bright/ clear,明 (Míng)
Day,天 (Tiān)
Month,月 (Yuè)
Today,今天 (Jīntiān)
Yesterday,昨天 (Zuótiān)
Tomorrow,明天 (Míngtiān)
Birthday,生日 (Shēngrì)
Date,日期 (Rìqí)
Star,星 (Xīng)
Sunday,星期日 (Xīngqí rì)
Monday,星期一 (Xīngqí yī)
Tuesday,星期二 (Xīngqí èr)
Wednesday,星期三 (Xīngqí sān)
Thursday,星期四 (Xīngqí sì)
Friday,星期五 (Xīngqí wǔ)
Saturday,星期六 (Xīngqí liù)
January,一月 (Yī yuè)
February,二月 (Èr yuè)
March,三月 (Sān yuè)
April,四月 (Sì yuè)
May,五月 (Wǔ yuè)
June,六月 (Liù yuè)
July,七月 (Qī yuè)
August,八月 (Bā yuè)
September,九月 (Jiǔ yuè)
October,十月 (Shí yuè)
November,十一月 (Shí yī yuè)
December,十二月 (Shí èr yuè)
